"_time",daylogins,"_span","_spandays"
1467320400,"717380.000000",86400,1
1467406800,"507254.000000",86400,1
1467493200,"412965.000000",86400,1
1467579600,"690769.000000",86400,1
1467666000,"718556.000000",86400,1
1467752400,"667489.000000",86400,1
1467838800,"673064.000000",86400,1
1467925200,"751529.000000",86400,1
1468011600,"510515.000000",86400,1
1468098000,"421617.000000",86400,1
1468184400,"768496.000000",86400,1
1468270800,"743433.000000",86400,1
1468357200,"678320.000000",86400,1
1468443600,"672751.000000",86400,1
1468530000,"782671.000000",86400,1
1468616400,"522483.000000",86400,1
1468702800,"421014.000000",86400,1
1468789200,"698668.000000",86400,1
1468875600,"698629.000000",86400,1
1468962000,"748116.000000",86400,1
1469048400,"712080.000000",86400,1
1469134800,"671318.000000",86400,1
1469221200,"483495.000000",86400,1
1469307600,"411781.000000",86400,1
1469394000,"758054.000000",86400,1
1469480400,"672019.000000",86400,1
1469566800,"653180.000000",86400,1
1469653200,"641813.000000",86400,1
1469739600,"687388.000000",86400,1
1469826000,"482350.000000",86400,1
1469912400,"413574.000000",86400,1
1469998800,"705269.000000",86400,1
1470085200,"673597.000000",86400,1
1470171600,"657864.000000",86400,1
1470258000,"672238.000000",86400,1
1470344400,"771627.000000",86400,1
1470430800,"497573.000000",86400,1
1470517200,"412970.000000",86400,1
1470603600,"717849.000000",86400,1
1470690000,"703719.000000",86400,1
1470776400,"830335.000000",86400,1
1470862800,"726392.000000",86400,1
1470949200,"766782.000000",86400,1
1471035600,"623153.000000",86400,1
1471122000,"439296.000000",86400,1
1471208400,"819318.000000",86400,1
1471294800,"753940.000000",86400,1
1471381200,"695874.000000",86400,1
1471467600,"697021.000000",86400,1
1471554000,"772290.000000",86400,1
1471640400,"525745.000000",86400,1
1471726800,"430794.000000",86400,1
1471813200,"716435.000000",86400,1
1471899600,"697238.000000",86400,1
1471986000,"694003.000000",86400,1
1472072400,"760571.000000",86400,1
1472158800,"734440.000000",86400,1
1472245200,"509682.000000",86400,1
1472331600,"361329.000000",86400,1
1472418000,"730244.000000",86400,1
1472504400,"720447.000000",86400,1
1472590800,"742448.000000",86400,1
1472677200,"729024.000000",86400,1
1472763600,"729220.000000",86400,1
1472850000,"560314.000000",86400,1
1472936400,"460226.000000",86400,1
1473022800,"799536.000000",86400,1
1473109200,"756193.000000",86400,1
1473195600,"739295.000000",86400,1
1473282000,"756324.000000",86400,1
1473368400,"871637.000000",86400,1
1473454800,"604965.000000",86400,1
1473541200,"486187.000000",86400,1
1473627600,"868086.000000",86400,1
1473714000,"878902.000000",86400,1
1473800400,"790288.000000",86400,1
1473886800,"902020.000000",86400,1
1473973200,"823112.000000",86400,1
1474059600,"598078.000000",86400,1
1474146000,"494523.000000",86400,1
1474232400,"802391.000000",86400,1
1474318800,"895862.000000",86400,1
1474405200,"809592.000000",86400,1
1474491600,"771513.000000",86400,1
1474578000,"833703.000000",86400,1
1474664400,"580114.000000",86400,1
1474750800,"495942.000000",86400,1
1474837200,"808959.000000",86400,1
1474923600,"919709.000000",86400,1
1475010000,"742238.000000",86400,1
1475096400,"796693.000000",86400,1
1475182800,"849448.000000",86400,1
1475269200,"664638.000000",86400,1
1475355600,"519350.000000",86400,1
1475442000,"808585.000000",86400,1
1475528400,"813142.000000",86400,1
1475614800,"865196.000000",86400,1
1475701200,"823110.000000",86400,1
1475787600,"993910.000000",86400,1
1475874000,"642032.000000",86400,1
1475960400,"531840.000000",86400,1
1476046800,"1015124.000000",86400,1
1476133200,"913179.000000",86400,1
1476219600,"888795.000000",86400,1
1476306000,"882757.000000",86400,1
1476392400,"1031711.000000",86400,1
1476478800,"731800.000000",86400,1
1476565200,"597911.000000",86400,1
1476651600,"942693.000000",86400,1
1476738000,"896548.000000",86400,1
1476824400,"892227.000000",86400,1
1476910800,"985584.000000",86400,1
1476997200,"938674.000000",86400,1
1477083600,"693692.000000",86400,1
1477170000,"574826.000000",86400,1
1477256400,"902030.000000",86400,1
1477342800,"973432.000000",86400,1
1477429200,"865515.000000",86400,1
1477515600,"864756.000000",86400,1
1477602000,"911871.000000",86400,1
1477688400,"688032.000000",86400,1
1477774800,"586432.000000",86400,1
1477861200,"908952.000000",86400,1
1477947600,"167339.000000",86400,1
1478034000,,86400,1
1478120400,,86400,1
1478206800,,86400,1
1478293200,,86400,1
1478379600,,86400,1
1478466000,"972410.000000",86400,1
1478552400,"909709.000000",86400,1
1478638800,"938193.000000",86400,1
1478725200,"1187854.000000",86400,1
1478811600,"1203129.000000",86400,1
1478898000,"803488.000000",86400,1
1478984400,"636368.000000",86400,1
1479070800,"1046234.000000",86400,1
1479157200,"1113146.000000",86400,1
1479243600,"985257.000000",86400,1
1479330000,"963694.000000",86400,1
1479416400,"1037617.000000",86400,1
1479502800,"782986.000000",86400,1
1479589200,"653369.000000",86400,1
1479675600,"994790.000000",86400,1
1479762000,"959617.000000",86400,1
1479848400,"931978.000000",86400,1
1479934800,"934530.000000",86400,1
1480021200,"1070114.000000",86400,1
1480107600,"775795.000000",86400,1
1480194000,"617515.000000",86400,1
1480280400,"1002357.000000",86400,1
1480366800,"989783.000000",86400,1
1480453200,"1056799.000000",86400,1
1480539600,"1016129.000000",86400,1
1480626000,"1007341.000000",86400,1
1480712400,"777972.000000",86400,1
1480798800,"654730.000000",86400,1
1480885200,"1071069.000000",86400,1
1480971600,"1011636.000000",86400,1
1481058000,"989178.000000",86400,1
1481144400,"1002301.000000",86400,1
1481230800,"1182986.000000",86400,1
1481317200,"889063.000000",86400,1
1481403600,"720733.000000",86400,1
1481490000,"1185293.000000",86400,1
1481576400,"1103437.000000",86400,1
1481662800,"1177165.000000",86400,1
1481749200,"1162223.000000",86400,1
1481835600,"1139446.000000",86400,1
1481922000,"859761.000000",86400,1
1482008400,"718032.000000",86400,1
1482094800,"1115779.000000",86400,1
1482181200,"1152256.000000",86400,1
1482267600,"1075563.000000",86400,1
1482354000,"1070706.000000",86400,1
1482440400,"1212923.000000",86400,1
1482526800,"890401.000000",86400,1
1482613200,"740165.000000",86400,1
1482699600,"1176517.000000",86400,1
1482786000,"1191477.000000",86400,1
1482872400,"1211109.000000",86400,1
1482958800,"1273180.000000",86400,1
1483045200,"1264381.000000",86400,1
1483131600,"932657.000000",86400,1
1483218000,"425938.000000",86400,1
1483304400,"549838.000000",86400,1
1483390800,"577390.000000",86400,1
1483477200,"620118.000000",86400,1
1483563600,"642694.000000",86400,1
1483650000,"637955.000000",86400,1
1483736400,"562380.000000",86400,1
1483822800,"611673.000000",86400,1
1483909200,"1006015.000000",86400,1
1483995600,"1069315.000000",86400,1
1484082000,"1061236.000000",86400,1
1484168400,"1051727.000000",86400,1
1484254800,"1205728.000000",86400,1
1484341200,"830376.000000",86400,1
1484427600,"712075.000000",86400,1
1484514000,"1099085.000000",86400,1
1484600400,"1055692.000000",86400,1
1484686800,"1044112.000000",86400,1
1484773200,"1015949.000000",86400,1
1484859600,"1157106.000000",86400,1
1484946000,"852800.000000",86400,1
1485032400,"1397170.000000",86400,1
1485118800,"2464044.000000",86400,1
1485205200,"2094539.000000",86400,1
1485291600,"1124321.000000",86400,1
1485378000,"1022950.000000",86400,1
1485464400,"1079262.000000",86400,1
1485550800,"801938.000000",86400,1
1485637200,"675789.000000",86400,1
1485723600,"1040985.000000",86400,1
1485810000,"1009014.000000",86400,1
1485896400,"1027454.000000",86400,1
1485982800,"978623.000000",86400,1
1486069200,"1055709.000000",86400,1
1486155600,"828877.000000",86400,1
1486242000,"711234.000000",86400,1
1486328400,"1018884.000000",86400,1
1486414800,"1008488.000000",86400,1
1486501200,"1024850.000000",86400,1
1486587600,"1041567.000000",86400,1
1486674000,"1321070.000000",86400,1
1486760400,"950210.000000",86400,1
1486846800,"755414.000000",86400,1
1486933200,"1153795.000000",86400,1
1487019600,"1160984.000000",86400,1
1487106000,"1250301.000000",86400,1
1487192400,"1116757.000000",86400,1
1487278800,"1115166.000000",86400,1
1487365200,"865581.000000",86400,1
1487451600,"743814.000000",86400,1
1487538000,"1188749.000000",86400,1
1487624400,"1153178.000000",86400,1
1487710800,"1268279.000000",86400,1
1487797200,"859645.000000",86400,1
1487883600,"760218.000000",86400,1
1487970000,"757951.000000",86400,1
1488056400,"722477.000000",86400,1
1488142800,"1359260.000000",86400,1
1488229200,"1323611.000000",86400,1
1488315600,"1293251.000000",86400,1
1488402000,"1119797.000000",86400,1
1488488400,"1221666.000000",86400,1
1488574800,"942864.000000",86400,1
1488661200,"794781.000000",86400,1
1488747600,"1220766.000000",86400,1
1488834000,"1279569.000000",86400,1
1488920400,"970739.000000",86400,1
1489006800,"1151899.000000",86400,1
1489093200,"1426703.000000",86400,1
1489179600,"978154.000000",86400,1
1489266000,"775087.000000",86400,1
1489352400,"1253397.000000",86400,1
1489438800,"1279593.000000",86400,1
1489525200,"1365472.000000",86400,1
1489611600,"1214760.000000",86400,1
1489698000,"1223474.000000",86400,1
1489784400,"942802.000000",86400,1
